,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
569,1688688000000,IFG,INVEO PORTFÖY GEDİK YATIRIM BURSA HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.839785,283538699.0,2.0,238111527.94,-
570,1688688000000,IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),3.528019,3731098.0,486.0,13163386.03,-
571,1688688000000,IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,1.344953,3051869.0,32.0,4104619.95,-
572,1688688000000,IFY,İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,2.296116,33956151.0,1.0,77967252.56,-
573,1688688000000,IGF,İŞ PORTFÖY GÜZEL SERBEST (DÖVİZ) ÖZEL FON,27.510119,12648242.0,2.0,347954647.52,-
574,1688688000000,IGL,TEB PORTFÖY ING BANK PARA PİYASASI (TL) FONU,160.496676,1131953.0,9861.0,181674693.45,-
575,1688688000000,IGM,İŞ PORTFÖY ÜNİ SERBEST (DÖVİZ) ÖZEL FON,27.402636,10680333.0,3.0,292669282.66,-
576,1688688000000,IGZ,İŞ PORTFÖY ÜNİ SERBEST ÖZEL FON,4.249138,43132428.0,3.0,183275621.7,-
577,1688688000000,IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.076993,299959.0,36.0,323053.74,-
578,1688688000000,IHC,INVEO PORTFÖY INTER SERBEST FON,2.350062,29626413.0,17.0,69623908.85,-
579,1688688000000,IHE,INVEO PORTFÖY BEYAZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),1.034098,260872966.0,1.0,269768146.58,-
580,1688688000000,IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.129321,80666821.0,10422.0,413765985.1,-
581,1688688000000,IHN,İŞ PORTFÖY DOKUZUNCU SERBEST (DÖVİZ) FON,27.519614,39900000.0,177.0,1098032591.28,-
582,1688688000000,IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.871894,63807200.0,3673.0,119440304.54,-
583,1688688000000,IHY,İSTANBUL PORTFÖY GMS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),1.740103,32244156.0,1.0,56108155.82,-
584,1688688000000,IIA,İSTANBUL PORTFÖY ONBİRİNCİ SERBEST (TL) FON,1.12799,382656503.0,1.0,431632736.47,-
585,1688688000000,IIC,İSTANBUL PORTFÖY ONÜÇÜNCÜ SERBEST (TL) FON,1.123502,22746682.0,12.0,25555951.37,-
586,1688688000000,IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST (TL) FON,1.193669,120902421.0,10.0,144317509.02,-
587,1688688000000,IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),9.263033,6968951.0,622.0,64553625.71,-
588,1688688000000,IIP,İSTANBUL PORTFÖY ARİES SERBEST FON,0.126455,2077302334.844,55.0,262685516.41,-
589,1688688000000,IIS,İSTANBUL PORTFÖY İKİNCİ SERBEST FON,23.098327,65494203.94,187.0,1512806563.2,-
590,1688688000000,IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,3.799504,35153002.0,481.0,133563966.94,-
591,1688688000000,IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,2.362177,60354192.0,7198.0,142567289.38,-
592,1688688000000,IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,4.081187,216736852.0,20881.0,884543698.24,-
